"filename", "language", "Properties", "HTML", "JSON", "JavaScript", "XML", "TypeScript", "JSON with Comments", "TypeScript JSX", "Markdown", "PostCSS", "comment", "blank", "total"
"d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\Admin\About\Units.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 199, 0, 0, 1, 9, 209
"d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\Admin\ExplorePlantComponent\Admin\ExploreHeader.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 326, 0, 0, 19, 26, 371
"d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\Admin\ExplorePlantComponent\Admin\HeaderFormModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 318, 0, 0, 10, 22, 350
"d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\Admin\ExplorePlantComponent\Admin\ImageManagerModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 145, 0, 0, 1, 8, 154
"d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\Admin\ExplorePlantComponent\Admin\PlantCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 7, 58
"d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\Admin\ExplorePlantComponent\Admin\PlantDetailsModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 115, 0, 0, 3, 16, 134
"d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\Admin\ExplorePlantComponent\Admin\PlantForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 206, 0, 0, 2, 17, 225
"d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\Admin\ExplorePlantComponent\Admin\PlantFormModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 297, 0, 0, 2, 24, 323
"d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\Admin\ExplorePlantComponent\Admin\PlantImageSlider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 88, 0, 0, 164, 19, 271
"d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\Admin\ExplorePlantComponent\Admin\PlantsTable.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 333, 0, 0, 20, 32, 385
"d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\Admin\ExplorePlantComponent\Admin\UnitComponent.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 116, 0, 0, 37, 19, 172
"d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\Admin\ExplorePlantComponent\Admin\UnitFormModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 237, 0, 0, 2, 16, 255
"d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\Admin\ExplorePlantComponent\Admin\UnitsTable.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 354, 0, 0, 30, 28, 412
"d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\Admin\LabComponents\CertificationsSection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 336, 0, 0, 5, 28, 369
"d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\Admin\LabComponents\FacilitiesSection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 297, 0, 0, 11, 32, 340
"d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\Admin\LabComponents\HeaderSection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 127, 0, 0, 0, 22, 149
"d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\Admin\LabComponents\ImageUploader.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 210, 0, 0, 29, 27, 266
"d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\Admin\LabComponents\IntroSection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 389, 0, 0, 32, 32, 453
"d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\Admin\LabComponents\ServicesSection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 307, 0, 0, 9, 24, 340
"d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\Admin\types\AboutCompanyType.ts", "TypeScript", 0, 0, 0, 0, 0, 105, 0, 0, 0, 0, 4, 11, 120
"d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\Admin\types\explorePlants.ts", "TypeScript", 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 1, 7, 64
"d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\Admin\types\global.d.ts", "TypeScript", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 2, 6
"d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\Admin\types\index.d.ts", "TypeScript", 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 7, 44
"d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\Admin\types\labTypes.ts", "TypeScript", 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 1, 7, 54
"d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\Admin\types\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\AwardCertification.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 112, 0, 0, 4, 17, 133
"d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\BannerHome.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 178, 0, 0, 12, 20, 210
"d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\BannerHome2.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 171, 0, 0, 8, 16, 195
"d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\CanvasCursor.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 5, 12
"d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\ContactUs.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 288, 0, 0, 15, 24, 327
"d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\CorePointComponent\CoreComponentModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 267, 0, 0, 8, 27, 302
"d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\CorePointComponent\CorePointComponent.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 164, 0, 0, 5, 9, 178
"d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\CorePointComponent\Safety.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\EventsMediaComponent\EventsMediaHeader.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 1, 15
"d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\EventsMediaComponent\EventsMediaSlider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 152, 0, 0, 5, 9, 166
"d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\EventsMediaComponent\ImageGallerySlider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 85, 0, 0, 1, 3, 89
"d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\EventsMediaComponent\NewsSlider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 60, 0, 0, 1, 3, 64
"d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\ExplorePlantComponent\ExploreHeader.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 3, 6, 40
"d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\ExplorePlantComponent\PlantCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 114, 0, 0, 59, 17, 190
"d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\ExplorePlantComponent\PlantImageSlider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 165, 0, 0, 169, 26, 360
"d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\ExplorePlantComponent\UnitComponent.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 8, 54
"d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\HeroBanner.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 159, 0, 0, 16, 18, 193
"d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\HeroBanner2.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 169, 0, 0, 24, 19, 212
"d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\LaboratoryComponent.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 2, 8
"d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\Layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 1, 2, 19
"d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\LogoMoving.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 59, 0, 0, 47, 14, 120
"d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\Outlet\Footer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 85, 0, 0, 7, 11, 103
"d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\Outlet\Navbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 135, 0, 0, 7, 14, 156
"d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\Outlet\Navbar2.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 63, 0, 0, 5, 6, 74
"d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\PageHeaderComponent.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 93, 0, 0, 6, 6, 105
"d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\Sidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 202, 0, 0, 3, 8, 213
"d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\SidebarMenu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 2, 5, 69
"d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\SmoothFollower.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 72, 0, 0, 5, 21, 98
"d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\about\AboutHero.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 3, 50
